logFC logCPM PValue FDR Gene_Name Mean_count Count_Std_Dev Count_Kurtosis
ENSMUSG00000081229 -5.75152842286245 -1.85606240810521 2.12892406350323e-08 0.000406539339166576 Lamr1-ps1 9.23913043478261 46.9402384989485 28.7301292354423
ENSMUSG00000076577 3.99098999193577 -2.8470543165055 9.06460749423444e-08 0.000865488723549504 Igkv8-30 3.65217391304348 17.0205332091753 29.809458129008
ENSMUSG00000094797 3.91269913695227 -2.85867577855601 1.41865578837777e-07 0.000903021697828731 Igkv6-15 3.58695652173913 19.0035974219579 40.090216663075
ENSMUSG00000076614 3.09993701875803 -2.12599110774994 1.23518960319043e-06 0.0058967951656311 Ighg1 7.39130434782609 37.7067505072557 40.6217930257493
ENSMUSG00000009350 2.05135056912006 -2.34736923053439 1.91588104083443e-06 0.00731713287115486 Mpo 6.02173913043478 15.2059770856869 18.2154362895834
ENSMUSG00000044206 -4.20922277805113 -1.36066147050111 4.53238879973107e-06 0.0144250827532774 Vsig4 15.9782608695652 99.5582440652338 40.8795811978346
ENSMUSG00000095079 3.07374689404222 0.907007955885558 6.58955592704488e-06 0.0179763085689784 Igha 79.7608695652174 429.653513363843 40.8088830596134
ENSMUSG00000076613 3.06920588425543 -1.72482311393102 8.16592154132026e-06 0.0194920547191315 Ighg2b 10.5652173913043 52.7137562370427 39.8701310721014
ENSMUSG00000015854 -3.57345037221291 -1.19186816874042 4.09106696552618e-05 0.0868033497485422 Cd5l 18.4130434782609 112.551336649737 40.745147440219
ENSMUSG00000008193 1.93035460857304 -2.4138500556966 5.37848247864383e-05 0.102707501412183 Spib 5.6304347826087 15.5468591978533 26.4504140278223
ENSMUSG00000032484 1.62052673558491 -0.656803187950653 8.49042384598296e-05 0.147393757966264 Ngp 24.2608695652174 57.7209512444172 27.3251439911063
ENSMUSG00000040314 2.28825424977329 -3.77839929678835 0.000169716401275666 0.270075366563344 Ctsg 0.934782608695652 2.9844200919147 16.5626489276751
ENSMUSG00000020125 2.42809163080777 -3.36040835572696 0.000220251907790102 0.323533110089215 Elane 1.93478260869565 6.79019611535809 28.1050554836268
ENSMUSG00000076609 2.21287686792444 0.422265067663277 0.000354625458118799 0.483709124874042 Igkc 54.9782608695652 243.21188650872 39.6587859802505
ENSMUSG00000042474 1.49409050153586 -2.60313637709997 0.000393919435975438 0.501485703292465 Faim3 4.65217391304348 11.7949469242918 36.8967503078323
ENSMUSG00000058626 -1.59424521520255 0.0439954810193003 0.000516529990501782 0.601433485142448 Capn11 39.9782608695652 77.9123408083825 23.8683056055822
ENSMUSG00000084104 0.521280583381953 -1.25293757821775 0.000535419420162423 0.601433485142448 Gm13578 14.8260869565217 6.40591514088897 0.876005211690374
ENSMUSG00000024164 1.27131785181279 1.49559032062097 0.000595802857502196 0.63208063149233 C3 114.608695652174 269.264634659401 35.2415782337208
ENSMUSG00000032496 1.42427291222776 -1.10271781852231 0.00070068617320328 0.704226482288939 Ltf 17.2608695652174 39.9045721594287 27.2396474085697
ENSMUSG00000014542 -3.09060707741974 -3.32958227075599 0.000894553137420831 0.85411933560941 Clec4f 2.04347826086957 8.64344715631219 18.0621642153082
ENSMUSG00000054054 -2.47988946268703 -3.6879593799869 0.00115773245429813 1 Olfr309 1.10869565217391 2.57533825928915 11.6833689982453
ENSMUSG00000065968 0.294608290947315 1.0547310359414 0.00121463187760028 1 Ifitm7 80.804347826087 23.2470973721857 1.77168947441335
ENSMUSG00000053137 -0.23160392940351 5.413257136861 0.00133192293724324 1 Mapk11 1725.04347826087 565.067939141313 0.323984028151715
ENSMUSG00000097640 -0.424939088539644 -0.573497525403427 0.0013856381578153 1 Gm20033 24.8695652173913 8.53648039794745 -0.586933103494048
ENSMUSG00000038357 1.58802596572428 -2.03607510344987 0.00150919374345525 1 Camp 7.95652173913043 21.1932447536569 23.1937890474459
ENSMUSG00000070471 -0.303221216332807 0.860404156677663 0.00151616521672238 1 Erich6 70.304347826087 18.979368406793 -0.635948070831966
ENSMUSG00000096422 2.23277175606467 -3.40483661449886 0.00174551246106476 1 Igkv12-44 1.80434782608696 8.51304767262163 37.1759485289179
ENSMUSG00000029322 1.08975981821854 -1.95764981024819 0.00176258107842101 1 Plac8 8.43478260869565 12.049254792841 13.3886413208839
ENSMUSG00000040809 1.49436217704547 -1.87911681123852 0.00189903244307734 1 Chil3 9.1304347826087 20.2491247499761 16.3572787597667
ENSMUSG00000026185 0.246108545451071 7.62779089308432 0.00200005119047155 1 Igfbp5 7861.47826086957 2271.05044456065 1.99090176880789
ENSMUSG00000095742 -0.378684197512462 1.57590544938503 0.00201763091979868 1 Cd99 118.086956521739 45.1387126715252 0.448145525883442
ENSMUSG00000095576 -2.38386058481185 -3.3415975252189 0.00211527382287672 1 Fmo6 1.97826086956522 4.91930044906921 11.7616333350469
ENSMUSG00000042073 -0.264086590693346 3.89295230622077 0.00216730724729516 1 Abhd14b 591.586956521739 177.26171186343 -0.260532775596347
ENSMUSG00000079592 0.347371817140973 -0.302242237073695 0.00243879153003456 1 C1qtnf5 30.4130434782609 9.67143810277693 -0.592492500984148
